"","gene_id","age","probe_id"
"649","AT1G09610","MC","264559_at"
"650","AT1G09620","UC","264705_at"
"651","AT1G09630","UC","264669_at"
"652","AT1G09660","MC","264664_at"
"653","AT1G09660","MC","264665_at"
"654","AT1G09680","MC","264666_at"
"655","AT1G09700","MC","264677_at"
"656","AT1G09720","MC","264706_at"
"657","AT1G09730","MC","264707_at"
"658","AT1G09740","MC","264708_at"
"659","AT1G09750","MC","264672_at"
"660","AT1G09760","UC","264678_at"
"661","AT1G09770","UC","264709_at"
"662","AT1G09780","UC","264668_at"
"663","AT1G09790","MC","264710_at"
"664","AT1G09795","UC","264673_at"
"665","AT1G09800","UC","264711_at"
"666","AT1G09810","MC","264712_at"
"667","AT1G09815","MC","264674_at"
"668","AT1G09820","MC","264713_at"
"669","AT1G09830","UC","264675_at"
"670","AT1G09840","UC","264686_at"
"671","AT1G09850","MC","264687_at"
"672","AT1G09870","UC","264676_at"
"673","AT1G09890","UC","264688_at"
"674","AT1G09900","MC","264689_at"
"675","AT1G09910","UC","264658_at"
"676","AT1G09930","UC","264659_at"
"677","AT1G09940","UC","264660_at"
"678","AT1G09950","MC","264661_at"
"679","AT1G09960","UC","264662_at"
"680","AT1G09970","MC","264663_at"
"681","AT1G09980","MC","264518_at"
"682","AT1G10010","UC","264520_at"
"683","AT1G10020","MC","264521_at"
"684","AT1G10030","UC","264523_at"
"685","AT1G10050","MC","264522_at"
"686","AT1G10060","UC","264525_at"
"687","AT1G10070","UC","264524_at"
"688","AT1G10090","UC","264515_at"
"689","AT1G10090","UC","264516_at"
"690","AT1G10110","MC","257417_at"
"691","AT1G10120","MC","264517_at"
"692","AT1G10130","UC","264526_at"
"693","AT1G10140","MC","264467_at"
"694","AT1G10150","MC","264463_at"
"695","AT1G10170","MC","264460_at"
"696","AT1G10180","MC","264407_at"
"697","AT1G10200","UC","264462_at"
"698","AT1G10210","UC","264405_at"
"699","AT1G10230","UC","264465_at"
"700","AT1G10270","MC","264452_at"
"701","AT1G10290","MC","264406_at"
"702","AT1G10300","UC","264453_at"
"703","AT1G10310","UC","264468_at"
"704","AT1G10320","MC","264454_at"
"705","AT1G10330","MC","264455_at"
"706","AT1G10340","MC","264434_at"
"707","AT1G10350","UC","264464_at"
"708","AT1G10360","MC","264435_at"
"709","AT1G10370","MC","264436_at"
"710","AT1G10380","MC","264466_at"
"711","AT1G10400","MC","264457_at"
"712","AT1G10410","MC","264458_at"
"713","AT1G10430","UC","263235_at"
"714","AT1G10460","MC","263211_at"
"715","AT1G10470","MC","263236_at"
"716","AT1G10480","MC","263208_at"
"717","AT1G10490","UC","263255_at"
"718","AT1G10500","MC","263256_at"
"719","AT1G10510","UC","263212_at"
"720","AT1G10520","UC","263257_at"
"721","AT1G10522","MC","263209_at"
"722","AT1G10530","MC","257450_at"
"723","AT1G10540","UC","263258_at"
"724","AT1G10550","MC","263207_at"
"725","AT1G10560","MC","263259_at"
"726","AT1G10570","MC","263260_at"
"727","AT1G10585","MC","263210_at"
"728","AT1G10590","UC","263206_at"
"729","AT1G10610","MC","263237_at"
"730","AT1G10620","UC","261830_at"
"731","AT1G10630","UC","261831_at"
"732","AT1G10640","UC","261834_at"
"733","AT1G10650","MC","261832_at"
"734","AT1G10660","UC","257477_at"
