"","GOID","countMC","countUC","total","proportion.MC","proportion.UC","MC.Pvalue","UC.Pvalue","age"
"46","GO:0042255",13,78,91,0.142857142857143,0.857142857142857,1,0,"UC"
"47","GO:0042542",56,55,111,0.504504504504504,0.495495495495495,0.0712,0.952,NA
"48","GO:0042891",2,10,12,0.166666666666667,0.833333333333333,0.9892,0.0516,NA
"49","GO:0043086",104,70,174,0.597701149425287,0.402298850574713,0,1,"MC"
"50","GO:0043312",21,61,82,0.25609756097561,0.74390243902439,0.9998,9e-04,"UC"
"51","GO:0043900",103,80,183,0.562841530054645,0.437158469945355,4e-04,0.9999,"MC"
"52","GO:0045321",34,83,117,0.290598290598291,0.709401709401709,0.9993,0.0016,"UC"
"53","GO:0045471",3,30,33,0.0909090909090909,0.909090909090909,1,0,"UC"
"54","GO:0046470",1,9,10,0.1,0.9,0.9951,0.0331,"UC"
"55","GO:0046686",61,249,310,0.196774193548387,0.803225806451613,1,0,"UC"
"56","GO:0048646",198,153,351,0.564102564102564,0.435897435897436,0,1,"MC"
"57","GO:0050829",14,13,27,0.518518518518518,0.481481481481481,0.2313,0.8693,NA
"58","GO:0050921",4,4,8,0.5,0.5,0.4785,0.7732,NA
"59","GO:0051094",143,102,245,0.583673469387755,0.416326530612245,0,1,"MC"
"60","GO:0051240",150,109,259,0.579150579150579,0.420849420849421,0,1,"MC"
"61","GO:0051607",39,27,66,0.590909090909091,0.409090909090909,0.0054,0.9977,"MC"
"62","GO:0052548",27,42,69,0.391304347826087,0.608695652173913,0.7778,0.3005,NA
"63","GO:0055002",31,20,51,0.607843137254902,0.392156862745098,0.0079,0.9964,"MC"
"64","GO:0060179",7,5,12,0.583333333333333,0.416666666666667,0.212,0.9153,NA
"65","GO:0060326",5,8,13,0.384615384615385,0.615384615384615,0.7265,0.4793,NA
"66","GO:0071345",43,62,105,0.40952380952381,0.59047619047619,0.7049,0.3675,NA
"67","GO:0071480",4,4,8,0.5,0.5,0.474,0.7763,NA
"68","GO:0080167",53,44,97,0.54639175257732,0.45360824742268,0.0168,0.9905,"MC"
"69","GO:0098727",42,29,71,0.591549295774648,0.408450704225352,0.004,0.998,"MC"
"70","GO:0099537",22,29,51,0.431372549019608,0.568627450980392,0.5433,0.5704,NA
"71","GO:1901654",19,33,52,0.365384615384615,0.634615384615385,0.862,0.2099,NA
"72","GO:1902229",3,4,7,0.428571428571429,0.571428571428571,0.6447,0.6543,NA
"73","GO:0016598",0,7,7,0,1,1,0.0191,"UC"
"74","GO:1904400",0,5,5,0,1,1,0.059,NA
"75","GO:1904401",0,5,5,0,1,1,0.0596,NA
"76","GO:1904587",0,5,5,0,1,1,0.0609,NA
"77","GO:1904588",0,5,5,0,1,1,0.0604,NA
