"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"253584_at",4.14218410398686,4.29861785557005,4.1786177462119
"253585_at",6.06603763437756,5.98784393858992,6.02785384227277
"253586_s_at",3.73136205858819,3.79827983776918,3.74571356481357
"253587_at",3.27030333900307,3.18231173344208,3.25211892469061
"253588_at",6.85703278939638,6.29865826777981,6.63989112796361
"253589_at",5.68760473083511,5.81233546013355,5.71513094040592
"253590_at",8.18056386286443,7.2960989235078,7.71992292914119
"253591_at",3.79085696952874,3.69098664009458,3.71793548919644
"253592_at",5.49348269130809,6.3422591399949,5.62675606434436
"253593_at",8.91651508231246,8.90132961927152,9.02557345414016
"253594_at",6.56192584151773,6.40952238032434,6.35102133087042
"253595_at",5.04210094917139,4.69791337185399,4.99458067899129
"253596_s_at",7.7415533090933,7.42187270489356,7.61144052051799
"253597_at",7.87876078412685,7.47935344693761,8.06897750389844
"253598_at",7.4686444172901,8.80280009700434,7.75291698978038
"253599_at",6.57142054437063,6.6055392472745,6.28021770082112
"253600_at",9.11443271478609,9.20583518308855,9.19697937890185
"253601_at",7.29699210936172,7.37609546674456,7.40148458291613
"253602_s_at",8.72171755970567,8.90407420848106,8.87943096807676
"253603_at",6.96780246885338,7.06028284188998,6.82377689344028
"253604_at",2.94898544489306,2.93080926810204,2.80833515855449
"253605_at",5.32190793684343,5.88632671602897,5.58618864402844
"253606_at",9.78963342195142,9.64667980457035,9.88494680580678
"253607_at",8.0632075838166,8.62468323339258,8.32373239713591
"253608_at",3.35589941814658,5.23328449231244,3.2765297538036
"253609_at",9.47379475592476,10.1707039315299,9.90267071035788
"253610_at",8.98360465443649,8.92391756823466,9.06014763196344
"253611_at",3.07784575995667,2.96507049946223,3.00299792897895
"253612_at",8.64738022252804,8.1724351713277,8.50944206215518
"253613_at",3.47080757974606,3.43344803620737,3.28416403576742
"253614_at",8.43015438224729,8.16216282241384,8.21330581036454
"253615_at",6.28787292013898,6.3221188399664,6.41178006952163
"253616_at",3.08667338522331,3.05239306506563,3.01886712870701
"253617_at",8.91973383491824,10.0670148702486,9.4789644980876
"253618_at",4.13415809419085,4.40778205612568,4.18457211338667
"253619_at",7.87268475268011,7.02309856036152,7.57538827691272
"253620_at",8.13165034848335,7.99573781976678,8.03157281039163
"253621_at",3.31288833650522,3.31650996681534,3.19243972161662
"253622_at",4.45303562419916,4.72466214306236,4.51348746003117
"253623_at",4.65485977816485,4.62146032587012,4.61037507697998
"253624_at",7.43137524204385,7.59975316136521,7.70023422506735
"253625_at",10.5897016198574,10.1498432391851,10.3960116825357
"253626_at",3.39855793934403,3.53523219039612,3.4894045374993
