"","d35_gene_exp_value","d35_ref_gene_exp_value"
"261711_at",11.0387802664085,11.1413269790214
"261712_at",5.30248183432655,5.11445851403333
"261713_at",9.78756316744543,7.37300772505751
"261714_at",4.31345669098842,4.31718072373998
"261715_at",5.03462587587242,4.73776286361661
"261716_at",4.55612482594117,4.54153034981563
"261717_at",5.64510081167068,5.46071904799098
"261718_at",6.80260900198577,6.78232308541888
"261719_at",5.41986410809579,5.31535050095344
"261720_at",9.40218338348216,9.41255338300682
"261721_at",9.76672827401446,9.89276129180008
"261722_at",9.32368456931541,9.25836681269994
"261723_at",10.6143729039507,10.9428450182045
"261724_at",8.09267311755351,7.71663249266552
"261725_at",8.10685383282835,8.26082770057647
"261726_at",5.96887132618615,6.01046926450232
"261727_at",6.83228111807614,8.02923975721307
"261728_at",7.55115060180528,10.3643493043427
"261729_s_at",4.21732069458411,4.21906316807736
"261730_s_at",3.84124731084712,3.80102241621275
"261731_s_at",3.78050787120814,3.85042269044792
"261732_at",4.26794687718898,4.26798618754724
"261733_at",8.43495406217512,8.68113169877805
"261734_at",4.89622392813501,4.80313518396184
"261735_at",4.25784781275986,4.32707496342023
"261736_at",4.72569175523281,4.65886143086033
"261737_at",5.79289024781933,5.91270870599573
"261738_s_at",7.28999583801401,7.25266860564475
"261739_at",8.44627142846568,8.44884850897226
"261740_at",7.22953297334613,8.75165507155914
"261741_at",6.75305252160334,7.29317147885373
"261742_at",6.68555576060569,6.84456568623377
"261743_s_at",7.30663298594228,6.4509725236865
"261744_at",7.91500377578049,7.78927254143192
"261745_at",5.52118152405202,5.88127493854861
"261746_at",11.4297045378199,9.90417598237383
"261747_at",6.1204172467081,6.83074753637156
"261748_at",7.57048815696247,8.53407411332211
"261749_at",12.025720249894,11.3951682680703
"261750_at",6.44192825439888,5.73316563169701
"261751_at",11.1598711284569,8.48255691284621
"261752_at",5.3544815307253,5.317130298054
"261753_at",7.94966592533929,8.20088718486372
"261754_at",8.01500480765352,6.01068786532842
"261755_at",4.83707773093648,4.82886802997302
"261756_at",7.79612615695324,8.17957157669028
"261757_at",7.75752930686754,8.42131547570256
"261758_at",7.66002528675492,7.54080489672685
"261759_at",4.27468303101164,4.36509565316067
"261760_at",6.26068402413617,6.21695273268221
"261761_at",5.48003265044082,7.04829382311043
"261762_at",6.89780973663799,5.69299569752428
"261763_at",5.71808332105912,8.51714058198744
"261764_at",5.050743527647,4.98339764767089
"261765_at",6.06517436374882,7.02211683587318
"261766_at",5.90429059257517,7.12107941320554
"261767_s_at",9.12353620881786,8.43355014395002
"261768_at",6.50402591220552,6.56066112140576
"261769_at",10.375174636948,8.96052715024759
"261770_at",9.31987656088427,9.76791454576548
"261771_at",10.1125304689795,9.79784635655944
"261772_at",5.63705792403834,5.41108350957995
"261773_at",4.71977611926394,4.86284666618924
"261774_at",7.07558883645885,7.91018074804597
"261775_at",6.86577152373165,6.62390929557178
"261776_at",4.82366422337099,4.57065748124504
"261777_at",3.99361399646599,3.99948165789269
"261778_at",3.88692628557564,3.94356531351482
"261779_at",3.80123841189403,3.84309557478683
"261780_at",4.95380984382508,6.52384594243832
"261781_at",7.05176248625876,7.1406531728148
"261782_at",6.89437423323674,5.06593443634954
"261783_at",8.83280629206219,8.35936590563486
"261784_at",7.53070204148871,7.72205567235171
"261785_at",7.71659783802671,7.72458093104166
"261786_at",4.88007731111861,4.94740003391327
"261787_at",7.30793857574865,6.93483926896217
"261788_at",8.82084989975884,5.49296017840984
"261789_at",11.2845194717988,12.6160923675497
"261790_at",6.84759653774225,7.67070350328447
"261791_at",7.44586756464389,6.74502970754721
"261792_at",10.7799376625165,11.0975509600846
"261793_at",9.02310351962213,8.46996310643827
"261794_at",6.3376412028947,7.00684458639232
"261795_at",9.08423057575168,8.56015714239718
"261796_at",6.97213465997048,8.57282475502354
"261797_at",4.01113667495618,3.9490745786407
"261798_at",6.14491398965643,6.14044484208502
"261799_at",6.00519744543034,6.14613965363278
"261800_at",9.91795781972614,11.089907469401
"261801_at",6.55324064099884,6.52395534513645
"261802_at",7.1941993118373,6.93718740773881
"261803_at",8.37404720681885,7.00268298861721
"261804_at",7.21713866508277,4.83502557688858
"261805_at",7.55069233917237,7.38427541498165
"261806_at",8.08814148067927,8.66092677795706
"261807_at",4.92092028619429,5.87195930421447
"261808_at",7.50290357837856,7.82988427085561
"261809_at",6.16241435447086,7.3969590329252
"261810_at",7.20335132378143,7.48095274361099
"261811_at",3.85905237705179,4.89865925303292
"261812_at",4.2191987672172,4.30314398079984
"261813_at",6.2014183348154,6.38750216795101
"261814_at",5.50815134359508,5.01101372761604
"261815_at",7.24873746666641,7.68658821949116
"261816_at",5.7770851604453,5.84022697785158
"261817_at",4.94907647867339,4.71573859831313
"261818_at",4.82372141216067,5.65246870246773
"261819_at",6.76545599322073,5.24228395954483
"261820_at",6.78251012551115,7.07658996658869
"261821_at",10.0490206897903,7.10456283419813
"261822_at",6.83535893172689,7.06898525899763
"261823_at",6.8259175043351,8.25455755004259
"261824_at",10.053272706824,8.58278634277326
"261825_at",6.02389699100268,7.17597340724177
"261826_at",9.58835359129955,12.6436853348889
"261827_at",8.24063736784071,8.75472302984529
"261828_at",8.59569760799514,8.7695695981513
"261829_at",4.79060923492332,4.874184914784
"261830_at",4.46399564924218,4.55042576191383
"261831_at",9.7067009519487,10.357399958785
"261832_at",7.05549953784606,6.24708554966495
"261833_at",9.65583617326212,10.7098640169504
"261834_at",4.86122529843338,5.994149782549
"261835_at",6.03613288433168,5.79900421190864
"261836_at",5.20752178713545,5.19272466444653
"261837_s_at",4.69142916333627,5.53884115541347
"261838_at",11.0521931922088,7.58154229784803
"261839_at",8.07503271649812,7.5510358720643
"261840_at",4.88110970083565,5.42739642642477
"261841_at",9.07637711339974,9.18298966757115
"261842_at",4.35829963613285,4.31483423797025
"261843_at",11.5424251208007,11.5279066977624
"261844_at",6.13864373561308,5.99212972170906
"261845_at",6.64689863347312,5.79472127302441
"261846_at",7.57178147571187,7.54080174737034
"261847_at",5.03401901023835,4.97515180354173
"261848_at",3.82538934358956,3.85157083094674
"261849_at",4.26161433729682,4.02827076205042
"261850_at",5.18807473146134,5.13601243759759
"261851_at",5.95103967713582,5.03478109117687
"261852_at",8.68825445573429,7.94065289267599
"261853_at",7.53657718569942,8.16317006547159
"261854_at",8.60113800703903,8.69007910308602
"261855_at",7.74060447651456,7.70930183713297
"261856_at",4.53634210357322,4.61981009003231
"261857_at",6.82036292453855,7.06161411938903
"261858_at",9.16506085469687,10.2142243267334
"261859_at",7.25960281048911,8.93410643081007
"261860_at",8.85175963046963,8.38200025043596
"261861_at",7.22480661872063,5.83580775493778
"261862_at",7.2530028261164,7.46146199610068
"261863_at",7.456562676902,6.94029399833499
"261864_s_at",10.76303323216,10.5050123602373
"261865_at",9.54497241214905,9.65635376740839
"261866_at",7.53969690754795,7.90452501026101
"261867_at",7.57542338610855,8.22484390088373
"261868_s_at",4.05683494648832,4.05510838825057
"261869_at",5.66024889556329,5.56799639742491
"261870_at",4.55168514207115,5.13362299537187
"261871_at",7.63308388385289,7.19146967222355
"261872_s_at",7.90445393140438,7.67824086855258
"261873_at",7.29864156507414,5.04952524744871
"261874_at",8.7786900514458,8.48194699442558
"261875_at",4.17457408785809,4.08949598453947
"261876_at",7.81314247070346,7.40398567032863
"261877_at",4.99600802845748,4.87729555969
"261878_at",4.34437357937287,4.53075198368764
"261879_at",4.72845627149729,4.6781519104564
"261880_at",7.86507215153047,8.38312755132812
"261881_at",9.18405410960027,6.36074612524448
"261882_at",7.92493902690651,7.86598085034975
"261883_at",6.93741974124751,7.3451130089723
"261884_at",7.48341235346205,7.60552302146428
"261885_at",8.99611395477137,9.20589092409211
"261886_s_at",7.98473804913087,8.50304102356566
"261887_at",10.3136188235986,10.400023186217
"261888_at",6.76956717858737,6.02225849901778
"261889_at",3.9924519307916,3.80289937055243
"261890_at",5.77902976329357,5.71471158251384
"261891_at",8.38067687674942,8.49348853938046
"261892_at",6.91855647758072,8.48231610229935
"261893_at",6.10577879612635,7.83686963683473
"261894_at",7.24446280123258,7.42611297524656
"261895_at",9.60693153974817,9.45576747133132
"261896_at",8.62707557525966,8.37602659705541
"261897_at",8.3409719054953,8.03048514842113
"261898_at",6.60460611119433,6.88337448309083
"261899_at",6.57512147977837,8.37595134658089
"261900_at",8.2490962091743,7.1585401242063
"261901_at",10.9521823363292,11.6579243386861
"261902_at",8.82043852174558,9.11622170002173
"261903_at",5.77532008777127,5.63077033816696
"261904_at",7.4178607684465,7.3821905490439
"261905_at",7.12762920367376,6.51167529564034
"261906_at",6.2617303983973,6.14661868034538
"261907_at",5.28940044346587,5.14669132085322
"261908_at",5.52867717250008,5.55631347372896
"261909_at",9.20200877536923,9.27870592160582
"261910_at",4.29735655328379,6.47897136748549
"261911_at",9.42485320254159,9.97230552475391
"261912_s_at",4.36864332472464,4.30213847553517
"261913_at",8.03876929020834,5.41125098989521
"261914_at",4.48324195545794,4.52152766934159
"261915_at",4.09033202347864,4.01063458805464
"261916_at",4.92107899643569,5.50104791176854
"261917_at",4.87147488763424,5.35892982478803
"261918_at",3.84013755758543,3.7507075472475
"261919_at",11.9395854797727,11.7271795117133
"261920_at",11.2655607610544,12.3055593440249
"261921_at",5.1833468959968,5.57814710664695
"261922_at",4.37671922485718,4.42663203735754
"261923_at",5.32497387112893,5.41862205043776
"261924_at",7.16832414810388,6.69982641800019
"261925_at",8.02495531065637,7.31034159691314
"261926_at",9.38238541846537,8.70416256711089
"261927_at",6.84762273823464,4.5920894353507
"261928_at",9.53830152879628,8.63845557627187
"261929_at",4.99568508979268,5.01370116626568
"261930_at",5.68383923323671,10.1078296808262
"261931_at",7.67497633909956,7.13920477375907
"261932_at",5.60418905383161,5.58671071355892
"261933_at",10.6563123900764,11.9659037345081
"261934_at",6.39923127731709,6.1088794122189
"261935_at",9.60758629497242,9.88415435074335
"261936_at",5.60916903000427,5.38904743111075
"261937_at",6.47352943227666,6.24112588409943
"261938_at",7.81602235506433,7.77786334744355
"261939_at",9.68712532229842,10.4724146146027
"261940_at",7.56958633210047,7.73466518827779
"261941_at",5.58171630727582,5.89202195512782
"261942_at",4.1694244894221,3.85444470001155
"261943_at",4.7168651122648,5.60579258734384
"261944_at",8.8870038819586,9.56322539436738
