"","probe_id","Gene.symbol.x","AGI","logFC.GV","logFC.C58","age"
"383","261228_at","HYD1","AT1G20050",0.22714333,0.5,"UC"
"384","261298_at","AT1G48510","AT1G48510",0.26020667,0.197,"UC"
"385","261346_at","AT1G79720","AT1G79720",0.25585667,0.729,"MC"
"386","261395_at","AT1G79700","AT1G79700",-0.36640333,-0.52,"MC"
"387","261431_at","MYB47","AT1G18710",-0.34187,-0.34,"MC"
"388","261441_at","NAC010","AT1G28470",-0.33177,-0.569,"MC"
"389","261453_at","AT1G21130","AT1G21130",0.22753,0.188,"MC"
"390","261492_at","SBH2","AT1G14290",0.37469333,0.562,"UC"
"391","261563_at","AT1G01630","AT1G01630",-0.27188333,-0.266,"UC"
"392","261570_at","KCS1","AT1G01120",-0.36896667,-0.895,"UC"
"393","261614_at","PAB8","AT1G49760",0.27114667,0.546,"UC"
"394","261660_at","HIK","AT1G18370",0.30362,0.646,"MC"
"395","261780_at","CYCB2;4","AT1G76310",0.20525333,0.423,"MC"
"396","261792_at","CCR1","AT1G15950",-0.2771,-0.299,"UC"
"397","261807_at","AT1G30515","AT1G30515",0.26462,1.44,"MC"
"398","261826_at","PMEPCRA","AT1G11580",0.5094,0.363,"MC"
"399","261860_at","SCL5","AT1G50600",-0.21586,-0.488,"MC"
"400","261876_at","AT1G50590","AT1G50590",-0.43418667,-0.862,"UC"
"401","261930_at","AT1G22440","AT1G22440",0.55582667,0.806,"MC"
"402","261941_at","AT1G22490","AT1G22490",0.18958333,0.395,"MC"
"403","261979_at","NIA2","AT1G37130",0.98159667,0.891,"UC"
"404","262092_at","AT1G56150","AT1G56150",-0.65313667,-0.742,"MC"
"405","262163_at","AT1G77940","AT1G77940",0.27913333,0.673,"UC"
"406","262166_at","AT1G74840","AT1G74840",-0.26833333,-1.17,"MC"
"407","262215_at","AT1G74790","AT1G74790",0.25092,0.235,"UC"
"408","262235_at","AT1G48350","AT1G48350",0.28944,0.365,"UC"
"409","262254_at","GLIP5","AT1G53920",0.19136667,0.541,"MC"
"410","262260_at","MLP34","AT1G70850",0.87380667,0.886,"MC"
"411","262317_at","EDA4","AT2G48140",-0.53340333,-1.39,"MC"
"412","262349_at","AT2G48130","AT2G48130",-0.47923333,-1.21,"MC"
"413","262402_at","TOM6","AT1G49410",0.20269333,0.636,"MC"
"414","262452_at","AT1G11210","AT1G11210",-0.52555333,-0.711,"MC"
"415","262517_at","GSTU25","AT1G17180",-0.33314333,-0.493,"MC"
"416","262518_at","GSTU24","AT1G17170",0.41616333,0.492,"MC"
"417","262593_at","AT1G15120","AT1G15120",0.24446333,0.488,"UC"
"418","262605_at","AT1G15170","AT1G15170",0.22178,0.287,"UC"
"419","262615_at","ELF5A-1","AT1G13950",0.36746667,0.456,"UC"
"420","262629_at","ACD32.1","AT1G06460",-0.231,-0.606,"MC"
"421","262630_at","GPAT1","AT1G06520",-0.41502667,-0.753,"MC"
"422","262637_at","AT1G06640","AT1G06640",-0.46708,-0.732,"MC"
"423","262677_at","AT1G75860","AT1G75860",-0.17669,-0.188,"MC"
"424","262703_at","AT1G16510","AT1G16510",-0.38665333,-0.584,"MC"
"425","262793_at","CYP71B7","AT1G13110",0.60384333,0.44,"UC"
"426","263005_at","AT1G54540","AT1G54540",-0.7279,-1.45,"MC"
"427","263010_at","AT1G23330","AT1G23330",-0.43855,-0.722,"UC"
"428","263027_at","AT1G24010","AT1G24010",-0.26320333,-0.335,"MC"
"429","263073_at","AT2G17500","AT2G17500",0.51892333,1.03,"UC"
"430","263131_at","emb1473","AT1G78630",0.27598333,0.443,"MC"
"431","263228_at","AT1G30700","AT1G30700",1.14773333,0.716,"UC"
"432","263350_at","AGT","AT2G13360",-0.32702333,-1.08,"UC"
"433","263371_at","NOP10","AT2G20490",0.20377333,0.637,"UC"
"434","263415_at","EMB2762","AT2G17250",0.16882333,0.36,"UC"
"435","263449_at","AT2G31670","AT2G31670",0.23711333,0.32,"MC"
"436","263452_at","AT2G22190","AT2G22190",-0.21152667,-0.249,"UC"
"437","263491_at","PPC2","AT2G42600",-0.30047,-0.335,"UC"
"438","263495_at","COR15B","AT2G42530",-0.93401333,-1.38,"MC"
"439","263497_at","COR15A","AT2G42540",-0.74545333,-0.982,"MC"
"440","263574_at","AT2G16990","AT2G16990",-0.21127,-0.309,"UC"
"441","263668_at","AT1G04350","AT1G04350",-0.2253,-0.508,"MC"
"442","263691_at","AT1G26880","AT1G26880",0.2181,0.784,"UC"
"443","263807_at","AT2G04400","AT2G04400",0.51663,0.526,"UC"
"444","263825_at","LAC5","AT2G40370",-0.43564667,-0.88,"UC"
"445","263874_at","MGP1","AT2G21870",0.29813333,0.488,"MC"
"446","263882_at","RNR1","AT2G21790",0.24346333,0.807,"UC"
"447","263917_at","HRD","AT2G36450",-0.26303333,-0.395,"MC"
"448","263959_at","AT2G36210","AT2G36210",0.38554667,0.222,"MC"
"449","264005_at","AGP2","AT2G22470",-0.42683333,-0.44,"MC"
"450","264010_at","AT2G21100","AT2G21100",-0.64059667,-1.47,"MC"
"451","264052_at","CYP79B3","AT2G22330",0.62626667,0.438,"MC"
"452","264102_at","ECT8","AT1G79270",-0.23142333,-0.401,"MC"
"453","264119_at","MYB63","AT1G79180",-0.18089,-0.517,"MC"
"454","264143_at","MC5","AT1G79330",-0.19004667,-0.237,"UC"
"455","264146_at","CER1","AT1G02205",-0.48687667,-0.222,"MC"
"456","264217_at","AT1G60190","AT1G60190",-0.27873,-0.266,"MC"
"457","264339_at","TPS8","AT1G70290",-0.46696,-1.45,"UC"
"458","264342_at","AT1G12080","AT1G12080",0.60158,1.64,"MC"
"459","264433_at","BGLU45","AT1G61810",-0.70146333,-1.55,"UC"
"460","264469_at","LBD40","AT1G67100",0.33871667,0.274,"MC"
"461","264635_at","AT1G65500","AT1G65500",0.60253667,0.33,"MC"
"462","264652_at","ESL1","AT1G08920",-0.47832667,-0.738,"UC"
"463","264729_at","AT1G22990","AT1G22990",-0.58933667,-0.981,"MC"
"464","264802_at","SYP111","AT1G08560",0.36099333,0.68,"UC"
"465","264846_at","AT2G17850","AT2G17850",0.41522333,0.749,"UC"
"466","264887_at","AT1G23120","AT1G23120",-0.17304333,-0.352,"MC"
"467","264894_at","AT1G23040","AT1G23040",-0.18985,-0.346,"MC"
"468","264929_at","AT1G60730","AT1G60730",0.53327,0.532,"UC"
"469","264957_at","SKP2B","AT1G77000",-0.19571,-0.441,"MC"
"470","264987_at","AT1G27030","AT1G27030",0.68519333,0.466,"UC"
"471","264998_at","AT1G67330","AT1G67330",0.47291333,0.852,"MC"
"472","265014_at","AT1G24430","AT1G24430",-0.55761333,-0.988,"MC"
"473","265024_at","AT1G24600","AT1G24600",-0.32476667,-0.409,"MC"
"474","265042_at","AT1G04040","AT1G04040",0.35716333,0.57,"MC"
"475","265062_at","AT1G61550","AT1G61550",0.39061333,0.393,"MC"
"476","265075_at","AT1G55450","AT1G55450",0.59330333,0.392,"UC"
"477","265119_at","FMO GS-OX4","AT1G62570",-0.36836,-0.633,"UC"
"478","265208_at","AT2G36690","AT2G36690",0.30302333,0.204,"MC"
"479","265210_at","RPL24A","AT2G36620",0.19413333,0.862,"UC"
"480","265337_at","TTN5","AT2G18390",0.30353333,0.397,"UC"
"481","265341_at","AT2G18360","AT2G18360",-0.58441667,-0.879,"MC"
"482","265352_at","ROC3","AT2G16600",0.25883333,0.401,"UC"
"483","265414_at","AT2G16660","AT2G16660",-0.45143333,-1.13,"UC"
"484","265544_at","CNGC15","AT2G28260",-0.35361,-0.271,"MC"
